,puuid,frame_timestamp,current_gold,gold_per_second,jungle_minions_killed,level,minions_killed,time_enemy_spent_controlled,total_gold,xp,position_x,position_y,abilityhaste,abilitypower,armor,armorpen,armorpenpercent,attackdamage,attackspeed,bonusarmorpenpercent,bonusmagicpenpercent,ccreduction,cooldownreduction,health,healthmax,healthregen,lifesteal,magicpen,magicpenpercent,magicresist,movementspeed,omnivamp,physicalvamp,power,powermax,powerregen,spellvamp,magicDamageDone,magicDamageDoneToChampions,magicDamageTaken,physicalDamageDone,physicalDamageDoneToChampions,physicalDamageTaken,totalDamageDone,totalDamageDoneToChampions,totalDamageTaken,trueDamageDone,trueDamageDoneToChampions,trueDamageTaken,kills,deaths,assists,KDA,lane_cs_per_min,jungle_cs_per_min,jungle_ratio,gold_per_min,xp_per_min,damage_per_min,damage_taken_per_min,ka_per_min,damage_efficiency,survivability,healthregen_per_min,wards_placed,wards_killed,wards_placed_per_min,wards_killed_per_min,vision_score_est,offensive_score,defensive_score,magic_score,total_vamp,haste_score
5,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,2109058,1854,50,0,15,27,192025,9928,14165,1673,1184,0,73,203,0,0,176,114,0,0,0,0,2019,3132,95,0,0,0,94,380,0,0,600,1097,66,0,17695,9105,10024,10961,4326,22715,31832,14517,33790,3175,1086,1050,1,7,0,0.14285714285714285,0.7681154335252989,0.0,0.0,282.4388897792284,402.97611540317996,412.99006475876905,961.2822406970315,0.028448719760196257,0.42962414915655517,0.14285714285714285,71.80456867473535,0,0,0.0,0.0,0,290,297,73,0,0
16,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,1557593,499,0,105,12,17,196813,10338,9662,14340,14391,0,289,96,0,0,92,141,0,0,0,0,1803,1803,23,0,15,0,94,410,0,0,738,738,27,0,110524,16410,13156,14315,1552,17464,170304,20107,32128,45464,2144,1507,8,11,0,0.7272727272727273,0.6548565639419284,4.044702306700145,0.860655737704918,398.2298328253915,372.1896541651125,774.5412312459031,1237.6018639015456,0.30816779479620154,0.6258403884462151,0.09090909090909091,23.035542661016066,0,0,0.0,0.0,0,233,190,304,0,0
25,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,2038851,397,0,20,18,254,233832,16991,18776,11346,7529,0,0,107,0,26,500,169,0,0,5,0,0,2873,32,0,0,0,92,493,0,0,2106,2120,39,0,29324,5855,18187,230723,33722,12011,261730,40230,31378,1681,653,1180,13,7,0,1.8571428571428572,7.474798305516196,0.5885667957099366,0.072992700729927,500.01692129537673,552.5465078124886,1183.9021095705377,923.4024457893197,0.38256841721145884,1.2821084836509657,0.14285714285714285,41.72938581583451,0,0,0.0,0.0,0,669,199,0,0,0
31,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,1563034,1573,0,153,16,21,200243,16437,15699,13760,13480,0,716,104,0,0,111,206,0,0,11,0,2630,2697,191,0,30,0,50,426,0,0,172,946,35,0,177985,30579,10553,20694,3112,24174,257313,37096,36821,58633,3404,2093,22,5,0,4.4,0.8061244988912589,5.873192777636315,0.8793103448275862,630.9651613464582,602.6356432425654,1423.999733850959,1413.4433416035736,0.8445113797908427,1.007468564134597,0.2,50.785843430149306,0,0,0.0,0.0,0,317,154,746,0,0
46,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,2468923,4876,0,269,18,86,538127,25905,29530,1702,1268,0,0,111,0,34,491,186,0,0,0,0,2433,2767,202,0,0,0,63,452,0,0,200,200,100,0,81431,1423,13597,390600,66360,35114,561502,72445,52242,89470,4662,3530,23,7,0,3.2857142857142856,2.089980124937068,6.53726341404734,0.7577464788732394,629.5457574011016,717.6408498766466,1760.5652343147194,1269.5900196158407,0.5589481729482856,1.3867194977221393,0.14285714285714285,48.87151199126097,0,0,0.0,0.0,0,677,174,0,0,0
59,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,1831942,1337,50,0,13,31,251263,9157,11206,1046,1517,0,0,124,0,0,106,112,0,0,29,0,2092,3323,1748,0,0,0,109,414,0,0,755,825,60,0,11413,6500,11622,8089,2714,22329,23443,10047,34918,3940,832,966,2,8,0,0.25,1.0153159870781934,0.0,0.0,299.9112417314522,367.02035326445923,329.060636199181,1143.638826993431,0.0655042572308512,0.28773125608568645,0.125,490.6596387876908,0,0,0.0,0.0,0,218,233,0,0,0
61,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,965237,1129,0,101,11,13,168825,8049,7580,4820,9827,0,0,72,0,0,219,123,0,0,0,0,541,1621,125,0,0,0,49,456,0,0,678,678,141,0,592,592,2716,89113,9675,14730,123821,11575,17713,34116,1307,266,6,0,0,6.0,0.8080916914705922,6.278250833733063,0.8859649122807017,500.3330788189844,471.1796170266992,719.5124099055466,1101.056010078354,0.3729653960633503,0.6534748489809744,1.0,49.79088037445726,0,0,0.0,0.0,0,342,121,0,0,0
76,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,2076960,1024,0,133,16,29,660477,13103,15297,2143,2660,0,0,136,0,0,330,161,0,0,34,0,2004,2818,204,0,0,0,121,400,0,0,200,200,170,0,43220,3902,13014,109443,18148,32793,217816,25945,46730,65153,3894,923,7,11,0,0.6363636363636364,0.8377628842153917,3.842153917263693,0.8209876543209876,378.5243817887682,441.90547723596023,749.5088976195979,1349.9537785994917,0.2022186272244049,0.5552107853627221,0.09090909090909091,40.5303905708343,0,0,0.0,0.0,0,491,257,0,0,0
81,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,958008,57,0,80,9,6,261910,5205,5534,2587,4927,0,0,68,0,0,148,181,0,0,0,0,1994,1994,145,0,0,0,45,380,0,0,586,644,20,0,3899,235,2702,48780,3470,13105,79200,4064,16150,26519,358,342,2,4,0,0.5,0.37577974296665584,5.0103965728887445,0.9302325581395349,325.9889270235739,346.5941829295789,254.5281459027482,1011.4738081519153,0.1252599143222186,0.25164086687306503,0.25,44.028859884259845,0,0,0.0,0.0,0,329,113,0,0,0
96,-356wHRenGKjOp5pBnrCzWJv7qFR5ypK9iMpB1S0J8doFXsxfHwXECJ_bWG0f57TpkVxUgYiRdb85Q,1429418,489,0,136,13,15,441586,8405,10870,3913,4027,0,24,87,0,0,263,160,0,0,29,0,1055,2315,31,0,0,0,78,415,0,0,504,763,31,0,651,478,5771,130756,7470,18229,184058,8939,25559,52650,991,1557,1,4,0,0.25,0.6296268831090696,5.70861707352223,0.9006622516556292,352.800930168782,456.2696146263724,375.2156472074648,1072.842233692314,0.04197512554060464,0.34973981767674794,0.25,48.98497150588561,0,0,0.0,0.0,0,423,165,24,0,0
