frame_timestamp,game_id,participant_id,timestamp,type
840308,7586871236,8.0,786019,CHAMPION_TRANSFORM
660240,7586441961,7.0,602731,CHAMPION_TRANSFORM
660261,7587111377,4.0,642284,CHAMPION_TRANSFORM
540192,7585920904,2.0,503669,CHAMPION_TRANSFORM
660285,7586693955,2.0,658355,CHAMPION_TRANSFORM
660253,7587616857,7.0,658815,CHAMPION_TRANSFORM
480182,7587612107,2.0,461280,CHAMPION_TRANSFORM
660217,7587612107,7.0,633013,CHAMPION_TRANSFORM
660217,7587612107,7.0,642766,CHAMPION_TRANSFORM
840244,7587612107,7.0,798115,CHAMPION_TRANSFORM
840244,7587612107,7.0,802857,CHAMPION_TRANSFORM
1440453,7587612107,7.0,1419494,CHAMPION_TRANSFORM
1440453,7587612107,7.0,1421832,CHAMPION_TRANSFORM
660233,7587627734,2.0,657234,CHAMPION_TRANSFORM
1380400,7587627734,7.0,1326228,CHAMPION_TRANSFORM
1500445,7587627734,7.0,1467251,CHAMPION_TRANSFORM
1020407,7587439880,2.0,1003725,CHAMPION_TRANSFORM
660196,7587570967,2.0,630484,CHAMPION_TRANSFORM
900274,7587389335,7.0,862588,CHAMPION_TRANSFORM
660228,7587523714,2.0,648390,CHAMPION_TRANSFORM
1260413,7587523714,7.0,1203622,CHAMPION_TRANSFORM
1720617,7587523714,7.0,1686499,CHAMPION_TRANSFORM
1720617,7587523714,7.0,1689004,CHAMPION_TRANSFORM
540217,7587586228,9.0,482427,CHAMPION_TRANSFORM
660298,7586360253,2.0,629785,CHAMPION_TRANSFORM
660216,7587626661,7.0,634183,CHAMPION_TRANSFORM
840276,7586520666,2.0,814693,CHAMPION_TRANSFORM
600227,7586742987,2.0,597923,CHAMPION_TRANSFORM
600234,7586550828,2.0,551674,CHAMPION_TRANSFORM
